lease_bs_brand_jqxx.brandid,lease_bs_brand_jqxx.brandname,lease_bs_brand_jqxx.brandnameen,lease_bs_brand_jqxx.brandnamech,lease_bs_brand_jqxx.recordstatus,lease_bs_brand_jqxx.formatname,lease_bs_brand_jqxx.mainformatname,lease_bs_brand_jqxx.detailformatname
1029839,特色小吃,Special snack,特色小吃,ACTIVE,餐饮美食,简餐,特色小吃
1029909,梦幻岛泡泡体验馆,无,梦幻岛泡泡体验馆,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1029855,尼科西亚,无,尼科西亚,ACTIVE,餐饮美食,自助餐,海鲜自助
1029887,New York Fries,New York Fries,New York Fries,ACTIVE,餐饮美食,洋快餐,洋快餐
1029946,有茶一丁,无,有茶一丁,ACTIVE,餐饮美食,饮品烘焙,果汁
1029991,调皮孩子,调皮孩子,调皮孩子,ACTIVE,儿童业态,儿童零售,儿童服饰
1030587,半碗面食,无,半碗面食,ACTIVE,餐饮美食,简餐,中式面
1030592,布凡莉赛特,bufanlisaite,布凡莉赛特,ACTIVE,服装服饰,女装,少淑女
1030584,来客海鲜自助餐厅,无,来客海鲜自助餐厅,ACTIVE,餐饮美食,自助餐,海鲜自助
1030636,情侣动车潮牌店,无,情侣动车潮牌店,ACTIVE,服装服饰,男女集合,国内休闲
1030666,绮琪,QIQI,绮琪,ACTIVE,儿童业态,儿童零售,孕婴童用品
1030676,钻石世家,无,钻石世家,ACTIVE,生活精品,黄金珠宝,钻石
1029776,茶当道,无,茶当道,ACTIVE,餐饮美食,饮品烘焙,奶茶
1029783,艺.昕愫发艺造型沙龙,无,艺.昕愫发艺造型沙龙,ACTIVE,体验业态,专业美护,美容美发
1029770,金大厨,无,金大厨,ACTIVE,餐饮美食,中餐,时尚融合菜
1026454,博佳机器人俱乐部,boca club,博佳机器人俱乐部,ACTIVE,儿童业态,儿童教育,儿童培训
1029799,Tebond,Tebond,Tebond,ACTIVE,服装服饰,男女集合,国内休闲
1029832,西雅图海鲜自助餐厅,V-ONE,西雅图海鲜自助餐厅,ACTIVE,餐饮美食,自助餐,海鲜自助
1031232,七印部落光电美肤,seven sealstribe,七印部落光电美肤,ACTIVE,体验业态,专业美护,美容美发
1031265,丝域,丝域,丝域,ACTIVE,体验业态,医疗保健,健齿健发
1031268,来阿提,无,来阿提,ACTIVE,餐饮美食,烧烤,串吧
1030108,悦芙,HAPSODE,悦芙,ACTIVE,生活精品,个人护理,化妆品
1030127,格朗合米线,无,格朗合米线,ACTIVE,餐饮美食,简餐,米线/米粉
1030145,苏梦,无,苏梦,ACTIVE,服装服饰,女装,淑女
1030172,美客,Macor,美客,ACTIVE,生活精品,家居家用,家居家饰
1031174,八百里秦味,bbl,八百里秦味,ACTIVE,餐饮美食,中餐,西北菜
1031111,colorfour,colorfour,colorfour,ACTIVE,大型零售,超市,平价超市
1028809,大小姐,无,大小姐,ACTIVE,餐饮美食,锅类,川渝火锅
1029727,兴隆针织,无,兴隆针织,ACTIVE,生活精品,家居家用,家居家饰
1029728,意大利风味蛋糕,无,意大利风味蛋糕,ACTIVE,餐饮美食,饮品烘焙,面包蛋糕
1029734,裕泰福珠宝,无,裕泰福珠宝,ACTIVE,生活精品,黄金珠宝,黄金
1029737,唯一茗,无,唯一茗,ACTIVE,生活精品,家居家用,家居家饰
1029736,V尚2000,无,V尚2000,ACTIVE,服装服饰,男女集合,国内休闲
1029735,cheap week,cheap week,cheap week,ACTIVE,服装服饰,女装,少淑女
1029712,哈根先生,无,哈根先生,ACTIVE,餐饮美食,饮品烘焙,咖啡店
1029714,SAUNP,SAUNP,SAUNP,ACTIVE,生活精品,家居家用,内衣袜品
1029707,艾莎,Elsa,艾莎,ACTIVE,主题体验,休闲娱乐,KTV
1029692,世家婚戒定制中心,无,世家婚戒定制中心,ACTIVE,体验业态,生活服务,服饰定制
1028834,hello i’m,hello i’m,hello i’m,ACTIVE,餐饮美食,饮品烘焙,果汁
1028863,城色尊品,CSZP Steak,城色尊品,ACTIVE,餐饮美食,自助餐,西式自助
1028895,台北疯豆,Taipei Crazy Bean Dessert&Drink,台北疯豆,ACTIVE,餐饮美食,饮品烘焙,奶茶
1028900,太子锅,无,太子锅,ACTIVE,餐饮美食,锅类,干锅
1028932,石潭贵香酒楼,石潭贵香酒楼,石潭贵香酒楼,ACTIVE,餐饮美食,中餐,粤菜（海南菜）
1029599,洋鹅庄,liuyuangezhuang,洋鹅庄,ACTIVE,餐饮美食,锅类,清汤火锅
1029592,Nōvachic,Nōvachic,Nōvachic,ACTIVE,服装服饰,女装,少淑女
1028793,九拍音乐教育,无,九拍音乐教育,ACTIVE,儿童业态,儿童教育,儿童培训
1028849,纯依库,无,纯依库,ACTIVE,服装服饰,女装,少淑女
1028567,骑击俱乐部,Horsemanship Fencing CLUB,骑击俱乐部,ACTIVE,儿童业态,儿童教育,儿童培训
1028823,品瓷,无,品瓷,ACTIVE,生活精品,家居家用,家居家饰
1028719,遇上潮品,遇上潮品,遇上潮品,ACTIVE,生活精品,杂品配饰,杂品集合
1029291,本涩,无,本涩,ACTIVE,服装服饰,女装,少淑女
1029394,拿上咖啡,无,拿上咖啡,ACTIVE,餐饮美食,饮品烘焙,咖啡店
1029389,遮门章,无,遮门章,ACTIVE,餐饮美食,中餐,云贵菜
1029391,水时光,无,水时光,ACTIVE,餐饮美食,饮品烘焙,果汁
1029550,优厂速购,EFSP,优厂速购,ACTIVE,服装服饰,男装,时尚
1029602,斯克雷,Scalextric,斯克雷,ACTIVE,儿童业态,儿童娱乐,儿童乐园
1028595,壹居,PEOH,壹居,ACTIVE,生活精品,家居家用,家居家饰
1028632,老爷锅,GrandpasPot,老爷锅,ACTIVE,餐饮美食,锅类,小涮锅
1028696,星悦炉鱼,无,星悦炉鱼,ACTIVE,餐饮美食,烧烤,烤鱼
1028755,红玫瑰花店,无,红玫瑰花店,ACTIVE,体验业态,生活服务,婚庆花艺
1028580,芳钰轩,fangyuxuan,芳钰轩,ACTIVE,服装服饰,女装,淑女
1028651,妙佩,miaopei,妙佩,ACTIVE,生活精品,杂品配饰,配饰
1029551,雪冰恋,无,雪冰恋,ACTIVE,餐饮美食,饮品烘焙,冰淇淋
